code	description
03053990	Fillets of fish, dried, salted or in brine, but not smoked (excl. tilapia, catfish, carp, eels, Nile perch, snakeheads, fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae, and fish fillets, salted or in brine of Pacific salmon, Atlantic salmon, Danube salmon and lesser or Greenland halibut)
03054100	Smoked Pacific salmon "Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus", Atlantic salmon "Salmo salar" and Danube salmon "Hucho hucho", incl. fillets (excl. offal)
03054200	Smoked herring "Clupea harengus, Clupea pallasii", incl. fillets (excl. offal)
03054300	Smoked trout "Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster", incl. fillets (excl. offal)
03054410	Smoked eels "Anguilla spp.", incl. fillets (excl. offal)
03054490	Smoked tilapia "Oreochromis spp.", catfish "Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.", carp "Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.", Nile perch "Lates niloticus" and snakeheads "Channa spp.", incl. fillets (excl. offal)
03054910	Smoked lesser or Greenland halibut "Reinhardtius hippoglossoides", incl. fillets (excl. offal)
03054920	Smoked Atlantic halibut "Hippoglossus hippoglossus", incl. fillets (excl. offal)
03054930	Smoked mackerel "Scomber scombrus, Scomber australasicus, Scomber japonicus", incl. fillets (excl. offal)
03054980	Smoked fish, incl. fillets (excl. offal, Pacific salmon, Atlantic salmon, Danube salmon, herring, lesser or Greenland halibut, Atlantic halibut, mackerel, trout, tilapia, catfish, carp, eels, Nile perch and snakeheads)
03055110	Cod "Gadus morhua, Gadus ogac, Gadus macrocephalus", dried, unsalted, not smoked stockfish (excl. fillets and offal)
03055190	Cod "Gadus morhua, Gadus ogac, Gadus macrocephalus", dried, salted, not smoked clipfish (excl. fillets and offal)
03055200	Dried tilapia "Oreochromis spp.", catfish "Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.", carp "Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.", eels "Anguilla spp.", Nile perch "Lates niloticus" and snakeheads "Channa spp.", even salted but not smoked (excl. fillets and offal)
03055310	Dried polar cod "Boreogadus saida", even salted but not smoked (excl. fillets and offal)
03055390	Dried fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae, even salted but not smoked (excl. fillets, offal, cod "Gadus morhua, Gadus ogac, Gadus macrocephalus" and polar cod "Boreogadus saida")
03055430	Dried herrings "Clupea harengus, Clupea pallasii", even salted but not smoked (excl. fillets and offal)
03055450	Dried anchovies "Engraulis spp.", even salted but not smoked (excl. fillets and offal)
03055490	Dried sardines "Sardina pilchardus, Sardinops spp.", sardinella "Sardinella spp.", brisling or sprats "Sprattus sprattus", mackerel "Scomber scombrus, Scomber australasicus, Scomber japonicus", Indian mackerels "Rastrelliger spp.", seerfishes "Scomberomorus spp.", jack and horse mackerel "Trachurus spp.", jacks, crevalles "Caranx spp.", cobia "Rachycentron canadum", silver pomfrets "Pampus spp.", Pacific saury "Cololabis saira", scads "Decapterus spp.", capelin "Mallotus villosus", swordfish "Xiphias gladius", Kawakawa "Euthynnus affinis", bonitos "Sarda spp.", marlins, sailfishes and spearfish "Istiophoridae", even salted but not smoked (excl. fillets and offal)
03055970	Atlantic Halibut "Hippoglossus Hippoglossus", dried, even salted, not smoked (excl. fillets and offal)
03055985	Fish, dried, even salted but not smoked, n.e.s. (excl. fillets and offal)
03056100	Herring (Clupea harengus, Clupea pallasii), only salted or in brine (excl. fillets and offal)
03056200	Cod "Gadus morhua, Gadus ogac, Gadus macrocephalus", salted or in brine only (excl. fillets and offal)
03056300	Anchovies "Engraulis spp.", salted or in brine only (excl. fillets and offal)
03056400	Tilapia "Oreochromis spp.", catfish "Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.", carp "Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.", eels "Anguilla spp.", Nile perch "Lates niloticus" and snakeheads "Channa spp.", salted or in brine only (excl. fillets and offal)
03056910	Fish of the species Boreogadus saida, salted or in brine only (excl. fillets and offal)
03056930	Atlantic halibut "Hippoglossus hippoglossus", salted or in brine only (excl. fillets and offal)
03056950	Pacific salmon "Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus", Atlantic salmon "Salmo salar" and Danube salmon "Hucho hucho", only salted or in brine (excl. fillets and offal)
03056980	Fish, only salted or in brine (excl. herring, cod, anchovies, tilapia, catfish, carp, eels, Nile perch, snakeheads, Boreogadus saida, Atlantic halibut, Pacific salmon, Atlantic salmon, Danube salmon and fillets and offal)
03057100	Shark fins, smoked, dried, salted or in brine
03057200	Fish heads, tails and maws, smoked, dried, salted or in brine
03057900	Fish fins and other edible fish offal, smoked, dried, salted or in brine (excl. heads, tails, maws and shark fins)
03061110	Frozen crawfish tails "Palinurus spp., Panulirus spp., Jasus spp.", even smoked, whether in shell or not, incl. crawfish tails in their shell, cooked by steaming or by boiling in water
03061190	Frozen rock lobster and other sea crawfish "Palinurus spp., Panulirus spp. and Jasus spp.", even smoked, whether in shell or not, incl. ones in shell, cooked by steaming or by boiling in water (excl. crawfish tails)
03061210	Frozen lobsters "Homarus spp.", whole, even smoked or cooked by steaming or by boiling in water
03061290	Frozen lobsters "Homarus spp.", even smoked, whether in shell or not, incl. lobsters in shell, cooked by steaming or by boiling in water (excl. whole)
03061410	Frozen crabs "Paralithodes camchaticus, Chionoecetes spp. and Callinectes sapidus", even smoked, whether in shell or not, incl. crabs in shell, cooked by steaming or by boiling in water
03061430	Frozen crabs "Cancer pagurus", even smoked, whether in shell or not, incl. crabs in shell, cooked by steaming or by boiling in water
03061490	Frozen crabs, even smoked, whether in shell or not, incl. crabs in shell, cooked by steaming or by boiling in water (excl. "Paralithodes camchaticus", "Chionoecetes spp.", "Callinectes sapidus" and "Cancer pagurus")
03061500	Frozen Norway lobsters "Nephrops norvegicus", even smoked, whether in shell or not, incl. lobsters in shell, cooked by steaming or by boiling in water
03061691	Frozen cold-water shrimps "Crangon crangon", even smoked, whether in shell or not, incl. shrimps in shell, cooked by steaming or by boiling in water
03061699	Frozen cold-water shrimps and prawns "Pandalus spp.", even smoked, whether in shell or not, incl. shrimps and prawns in shell, cooked by steaming or by boiling in water
03061791	Frozen deepwater rose shrimps "Parapenaeus longirostris", even smoked, whether in shell or not, incl. shrimps in shell, cooked by steaming or by boiling in water
03061792	Frozen shrimps of the genus "Penaeus", even smoked, whether in shell or not, incl. shrimps in shell, cooked by steaming or by boiling in water
03061793	Frozen shrimps of the family Pandalidae, even smoked, whether in shell or not, incl. shrimps in shell, cooked by steaming or by boiling in water (excl. Pandalus)
03061794	Frozen shrimps of the genus Crangon, even smoked, whether in shell or not, incl. shrimps in shell, cooked by steaming or by boiling in water (excl. "Crangon crangon")
03061799	Frozen shrimps and prawns, even smoked, whether in shell or not, incl. shrimps and prawns in shell, cooked by steaming or by boiling in water (excl. "Pandalidae", "Crangon", deepwater rose shrimps "Parapenaeus longirostris" and "Penaeus")
03061990	Frozen crustaceans, fit for human consumption, even smoked, whether in shell or not, incl. crustaceans in shell, cooked by steaming or by boiling in water (excl. rock lobster and other sea crawfish, lobsters, shrimps, prawns, crabs, freshwater crayfish and Norway lobsters "Nephrops norvegicus")
03063100	Rock lobster and other sea crawfish "Palinurus spp., Panulirus spp. and Jasus spp.", whether in shell or not, live, fresh or chilled
03063210	Live lobsters "Homarus spp."
03063291	Whole lobsters "Homarus spp.", fresh or chilled
03063299	Parts of lobsters "Homarus spp.", fresh or chilled, whether in shell or not
03063310	Crabs "Cancer pagurus", whether in shell or not, live, fresh or chilled
03063390	Crabs, whether in shell or not, live, fresh or chilled (excl. "Cancer pagurus")
03063400	Norway lobsters "Nephrops norvegicus", whether in shell or not, live, fresh or chilled
03063510	Shrimps "Crangon crangon", whether in shell or not, fresh or chilled
03063550	Live shrimps "Crangon crangon"
03063590	Cold-water shrimps and prawns "Pandalus spp.", whether in shell or not, live, fresh or chilled
03063610	Shrimps of the family Pandalidae, whether in shell or not, live, fresh or chilled (excl. "Pandalus spp.")
03063650	Shrimps of the genus Crangon, whether in shell or not, live, fresh or chilled (excl. "Crangon crangon")
03063690	Shrimps and prawns, whether in shell or not, live, fresh or chilled (excl. "Pandalidae" and "Crangon")
03063990	Crustaceans, fit for human consumption, whether in shell or not, live, fresh or chilled (excl. rock lobster and other sea crawfish, lobsters, crabs, Norway lobsters, shrimps, prawns and freshwater crayfish)
03069100	Rock lobster and other sea crawfish "Palinurus spp., Panulirus spp. and Jasus spp.", whether in shell or not, dried, salted, smoked or in brine, incl. in shell, cooked by steaming or by boiling in water
03069210	Whole lobsters "Homarus spp.", dried, salted, smoked or in brine, incl. lobsters in shell, cooked by steaming or by boiling in water
03069290	Parts of lobsters "Homarus spp.", whether in shell or not, dried, salted, smoked or in brine, incl. parts in shell, cooked by steaming or by boiling in water
03069310	Crabs "Cancer pagurus", whether in shell or not, dried, salted, smoked or in brine, incl. crabs in shell, cooked by steaming or by boiling in water
03069390	Crabs, whether in shell or not, dried, salted, smoked or in brine, incl. crabs in shell, cooked by steaming or by boiling in water (excl. "Cancer pagurus")
03069400	Norway lobsters "Nephrops norvegicus", whether in shell or not, dried, salted, smoked or in brine, incl. lobsters in shell, cooked by steaming or by boiling in water
03069511	Shrimps "Crangon crangon", whether in shell or not, dried, salted, smoked or in brine, cooked by steaming or by boiling in water
03069519	Shrimps "Crangon crangon", whether in shell or not, dried, salted, smoked or in brine (excl. cooked by steaming or by boiling in water)
03069520	Shrimps and prawns "Pandalus spp.", whether in shell or not, dried, salted, smoked or in brine, incl. ones in shell, cooked by steaming or by boiling in water
03069530	Shrimps of the family Pandalidae, whether in shell or not, dried, salted, smoked or in brine, incl. shrimps in shell, cooked by steaming or by boiling in water (excl. "Pandalus spp.")
03069540	Shrimps of the genus Crangon, whether in shell or not, dried, salted, smoked or in brine, incl. shrimps in shell, cooked by steaming or by boiling in water (excl. "Crangon crangon")
03069590	Shrimps and prawns, whether in shell or not, dried, salted, smoked or in brine, incl. ones in shell, cooked by steaming or by boiling in water (excl. "Pandalidae" and "Crangon")
03069990	Crustaceans, fit for human consumption, whether in shell or not, dried, salted, smoked or in brine, incl. crustaceans in shell, cooked by steaming or by boiling in water (excl. rock lobster and other sea crawfish, lobsters, crabs, Norway lobsters, shrimps, prawns and freshwater crayfish)
03071110	Live flat oysters "Ostrea" weighing "incl. shell" <= 40 g
03071190	Oysters, even in shell, live, fresh or chilled (excl. live flat oysters "Ostrea" weighing "incl. shell" <= 40 g)
03071200	Oysters, even in shell, frozen
03071900	Oysters, even in shell, smoked, dried, salted or in brine
03072110	Live, fresh or chilled, scallops, incl. queen scallops,of the genera Pecten, Chlamys or Placopecten, even in shell
03072190	Live, fresh or chilled, scallops and other molluscs of the family Pectinidae, even in shell (excl. genera Pecten, Chlamys and Placopecten)
03072210	Coquilles St Jacques "Pecten maximus", frozen, even in shell
03072290	Scallops, incl. queen scallops, of the genera Pecten, Chlamys or Placopecten, frozen, even in shell (excl. Coquilles St Jacques "Pecten maximus")
03072295	Scallops and other molluscs of the family Pectinidae, frozen, even in shell (excl. genera Pecten, Chlamys and Placopecten)
03072910	Scallops, incl. queen scallops, of the genera Pecten, Chlamys or Placopecten, smoked, dried, salted or in brine, even in shell
03072990	Scallops and other molluscs of the family Pectinidae, smoked, dried, salted or in brine, even in shell (excl. genera Pecten, Chlamys and Placopecten)
03073110	Mussels "Mytilus spp.", live, fresh or chilled, with or without shell
03073190	Mussels "Perna spp.", live, fresh or chilled, with or without shell
03073210	Mussels "Mytilus spp.", frozen, even in shell
03073290	Mussels "Perna spp.", frozen, even in shell
03073920	Mussels "Mytilus spp.", smoked, dried, salted or in brine, even in shell
03073980	Mussels "Perna spp.", smoked, dried, salted or in brine, even in shell
03074210	Cuttle fish "Sepia officinalis, Rossia macrosoma, Sepiola spp.", live, fresh or chilled, with or without shell
03074220	Squid "Loligo spp.", live, fresh or chilled
03074230	Squid "Ommastrephes spp., Nototodarus spp., Sepioteuthis spp.", live, fresh or chilled
03074240	European flying squid "Todarodes sagittatus", live, fresh or chilled
03074290	Cuttle fish and squid, live, fresh or chilled, with or without shell (excl. "Sepia officinalis, Rossia macrosoma, Sepiola spp., Loligo spp., Ommastrephes spp., Nototodarus spp., Sepioteuthis spp., Todarodes sagittatus")
03074321	Lesser cuttle fish "Sepiola rondeleti", frozen, with or without shell
03074325	Cuttle fish "Sepiola spp.", frozen, with or without shell (excl. "Sepiola rondeleti")
03074329	Cuttle fish "Sepia officinalis, Rossia macrosoma", frozen, with or without shell
03074331	Squid "Loligo vulgaris", frozen
03074333	Squid "Loligo pealei", frozen
03074335	Squid "Loligo gahi", frozen
03074338	Squid "Loligo spp.", frozen (excl. "Loligo vulgaris, pealei and gahi")
03074391	Squid "Ommastrephes spp., Nototodarus spp., Sepioteuthis spp.", frozen (excl. "Ommastrephes sagittatus")
03074392	Squid "Illex spp.", frozen
03074395	European flying squid "Todarodes sagittatus, Ommastrephes sagittatus", frozen
03074399	Cuttle fish and squid, frozen, with or without shell (excl. "Sepia officinalis, Rossia macrosoma, Sepiola spp., Loligo spp., Ommastrephes spp., Nototodarus spp., Sepioteuthis spp., Illex spp., Todarodes sagittatus")
03074920	Cuttle fish "Sepia officinalis, Rossia macrosoma, Sepiola spp.", smoked, dried, salted or in brine, with or without shell
03074940	Squid "Loligo spp.", smoked, dried, salted or in brine
03074950	Squid "Ommastrephes spp., Nototodarus spp., Sepioteuthis spp.", smoked, dried, salted or in brine (excl. "Ommastrephes sagittatus")
03074960	European flying squid "Todarodes sagittatus, Ommastrephes sagittatus", smoked, dried, salted or in brine
03074980	Cuttle fish and squid, smoked, dried, salted or in brine, with or without shell (excl. "Sepia officinalis, Rossia macrosoma, Sepiola spp., Loligo spp., Ommastrephes spp., Nototodarus spp., Sepioteuthis spp., Todarodes sagittatus")
03075100	Octopus "Octopus spp.", live, fresh or chilled
03075200	Octopus "Octopus spp.", frozen
03075900	Octopus "Octopus spp.", smoked, dried, salted or in brine
03077100	Live, fresh or chilled, even in shell, clams, cockles and ark shells "families Arcidae, Arcticidae, Cardiidae, Donacidae, Hiatellidae, Mactridae, Mesodesmatidae, Myidae, Semelidae, Solecurtidae, Solenidae, Tridacnidae and Veneridae"
03077210	Striped venus or other "Veneridae", even in shell, frozen
03077290	Frozen, even in shell, clams, cockles and ark shells "families Arcidae, Arcticidae, Cardiidae, Donacidae, Hiatellidae, Mactridae, Mesodesmatidae, Myidae, Semelidae, Solecurtidae, Solenidae, Tridacnidae"
03077900	Smoked, dried, salted or in brine, even in shell, clams, cockles and ark shells "families Arcidae, Arcticidae, Cardiidae, Donacidae, Hiatellidae, Mactridae, Mesodesmatidae, Myidae, Semelidae, Solecurtidae, Solenidae, Tridacnidae and Veneridae"
03078100	Live, fresh or chilled, even in shell, abalone "Haliotis spp."
03078200	Live, fresh or chilled, even in shell, stromboid conchs "Strombus spp."
03078300	Frozen, even in shell, abalone "Haliotis spp."
03078400	Frozen, even in shell, stromboid conchs "Strombus spp."
03078700	Smoked, dried, salted or in brine, even in shell, abalone "Haliotis spp."
03078800	Smoked, dried, salted or in brine, even in shell, stromboid conchs "Strombus spp."
03079100	Live, fresh or chilled molluscs, even in shell (excl. oysters, scallops of the genera Pecten, Chlamys or Placopecten, mussels "Mytilus spp., Perna spp.", cuttle fish and squid, octopus "Octopus spp.", snails other than sea snails, clams, cockles and ark shells, abalone and stromboid conchs)
03079200	Molluscs, even in shell, frozen (excl. oysters, scallops of the genera Pecten, Chlamys or Placopecten, mussels "Mytilus spp., Perna spp.", cuttle fish and squid, octopus "Octopus spp.", snails other than sea snails, clams, cockles and ark shells, abalone and stromboid conchs)
03079900	Molluscs, even in shell, smoked, dried, salted or in brine (excl. oysters, scallops of the genera Pecten, Chlamys or Placopecten, mussels "Mytilus spp., Perna spp.", cuttle fish and squid, octopus "Octopus spp.", snails other than sea snails, clams, cockles and ark shells, abalone and stromboid conchs)
03081100	Live, fresh or chilled, sea cucumbers "Stichopus japonicus, Holothurioidea"
03081200	Frozen sea cucumbers "Stichopus japonicus, Holothuroidea"
03081900	Smoked, dried, salted or in brine, sea cucumbers "Stichopus japonicus, Holothuroidea"
03082100	Live, fresh or chilled, sea urchins "Strongylocentrotus spp., Paracentrotus lividus, Loxechinus albus, Echichinus esculentus"
03082200	Frozen sea urchins "Strongylocentrotus spp., Paracentrotus lividus, Loxechinus albus, Echinus esculentus"
03082900	Smoked, dried, salted or in brine, sea urchins "Strongylocentrotus spp., Paracentrotus lividus, Loxechinus albus, Echinus esculentus"
03083050	Frozen jellyfish "Rhopilema spp." (excl. smoked)
03083080	Live, fresh, chilled, smoked, dried, salted or in brine, jellyfish "Rhopilema spp."
03089010	Live, fresh or chilled, aquatic invertebrates (excl. crustaceans, molluscs, sea cucumbers, sea urchins and jellyfish); all fresh or chilled flours, meals and pellets of aquatic invertebrates other than crustaceans and molluscs, fit for human consumption
03089050	Frozen aquatic invertebrates (excl. crustaceans, molluscs, sea cucumbers, sea urchins and jellyfish); all frozen flours, meals and pellets of aquatic invertebrates other than crustaceans and molluscs, fit for human consumption
03089090	Smoked, dried, salted or in brine, aquatic invertebrates (excl. crustaceans, molluscs, sea cucumbers, sea urchins and jellyfish)
16041100	Prepared or preserved salmon, whole or in pieces (excl. minced)
16041210	Fillets of herring, raw, merely coated with butter or breadcrumbs, whether or not pre-fried in oil, frozen
16041291	Herrings, prepared or preserved, whole or in pieces, in airtight containers (excl. minced herrings and herring fillets, raw, merely coated with batter or breadcrumbs, whether or not pre-fried in oil, frozen)
16041299	Herrings, prepared or preserved, whole or in pieces (excl. minced herrings and herring fillets, raw, merely coated with batter or breadcrumbs, whether or not pre-fried in oil, frozen and in airtight containers)
16041311	Sardines, prepared or preserved, whole or in pieces, in olive oil (excl. minced sardines)
16041319	Sardines, prepared or preserved, whole or in pieces (excl. minced sardines and sardines in olive oil)
16041390	Prepared or preserved sardinella, brisling or sprats, whole or in pieces (excl. minced)
16041421	Prepared or preserved skipjack, whole or in pieces, in vegetable oil (excl. minced)
16041426	Fillets known as "loins" of skipjack, prepared or preserved, whole or in pieces (excl. such products in vegetable oil or minced)
16041428	Prepared or preserved skipjack, whole or in pieces (excl. minced, fillets known as "loins" and such products in vegetable oil)
16041431	Prepared or preserved Yellowfin tuna "Thunnus albacares", whole or in pieces, in vegetable oil (excl. minced)
16041436	Fillets known as "loins" of Yellowfin tuna "Thunnus albacares", prepared or preserved, whole or in pieces (excl. such products in vegetable oil or minced)
16041438	Prepared or preserved Yellowfin tuna "Thunnus albacares", whole or in pieces (excl. minced, fillets known as "loins" and such products in vegetable oil)
16041441	Prepared or preserved tunas, whole or in pieces, in vegetable oil (excl. minced, skipjack and Yellowfin tuna "Thunnus albacares")
16041446	Fillets known as "loins" of tuna, prepared or preserved, whole or in pieces (excl. such products in vegetable oil or minced, skipjack and Yellowfin tuna "Thunnus albacares")
16041448	Prepared or preserved tuna, whole or in pieces (excl. minced, fillets known as "loins" and such products in vegetable oil, skipjack and Yellowfin tuna "Thunnus albacares")
16041490	Prepared or preserved bonito "sarda spp.", whole or in pieces (excl. minced)
16041511	Fillets of mackerel of the species Scomber scombrus and Scomber japonicus, prepared or preserved
16041519	Mackerel of the species Scomber scombrus and Scomber japonicus, prepared or preserved, whole or in pieces (excl. minced mackerel and fillets of mackerel)
16041590	Prepared or preserved mackerel of species Scomber australasicus, whole or in pieces (excl. minced)
16041600	Prepared or preserved anchovies, whole or in pieces (excl. minced)
16041700	Prepared or preserved eels, whole or in pieces (excl. minced)
16041800	Prepared or preserved shark fins, whole or in pieces (excl. minced)
16041910	Prepared or preserved salmonidae, whole or in pieces (excl. salmon and minced)
16041931	Fillets known as "loins" of fish of the genus "Euthynnus" prepared or preserved (excl. of skipjack [Euthynnus Katsuwonus pelamis])
16041939	Prepared or preserved fish of the genus "Euthynnus", whole or in pieces (excl. minced, fillets known as "loins" and of skipjack [Euthynnus Katsuwonus pelamis])
16041950	Prepared or preserved fish of species Orcynopsis unicolor, whole or in pieces (excl. minced)
16041991	Frozen raw fish fillets, coated with batter or breadcrumbs, whether or not pre-fried in oil (excl. salmonidae, herrings, sardines, sardinella, brisling or sprats, tunas, skipjack and Atlantic bonito, bonito "sarda spp.", mackerel, anchovies, fish of species Euthynnus and fish of species Orcynopsis unicolor)
16041992	Cod of the species Gadus morhua, Gadus ogac, Gadus macrocephalus, prepared or preserved, whole or in pieces (excl. finely minced and fillets, raw, merely coated with batter or breadcrumbs, whether or not pre-fried in oil, frozen)
16041993	Coalfish "Pollachius virens", prepared or preserved, whole or in pieces (excl. finely minced and fillets, raw, merely coated with batter or breadcrumbs, whether or not pre-fried in oil, frozen)
16041994	Hake "Merluccius spp., Urophycis spp.", prepared or preserved, whole or in pieces (excl. finely minced and fillets, raw, merely coated with batter or breadcrumbs, whether or not pre-fried in oil, frozen)
16041995	Alaska pollock "Theragra chalcogramma" and pollack "Pollachius pollachius", prepared or preserved, whole or in pieces (excl. finely minced and fillets, raw, merely coated with batter or breadcrumbs, whether or not pre-fried in oil, frozen)
16041997	Fish, prepared or preserved, whole or in pieces (excl. minced, merely smoked, and salmonidae, herrings, sardines, sardinella, anchovies, brisling, sprats, tunas, bonito "Sarda spp.", mackerel, eels, shark fins, Euthynnus spp., Orcynopsis unicolor, cod, coalfish, hake, Alaska pollock and pollack; fillets, raw, merely coated with batter or breadcrumbs, even pre-fried in oil, frozen)
16042005	Preparations of surimi
16042010	Prepared or preserved salmon (excl. whole or in pieces)
16042030	Prepared or preserved salmonidae (excl. salmon and whole or in pieces)
16042040	Prepared or preserved anchovies (excl. whole or in pieces)
16042050	Prepared or preserved sardines, bonito, mackerel of species Scomber scombrus and japonicus and fish of species Orcynopsis unicolor (excl. whole or in pieces)
16042070	Prepared or preserved tunas, skipjack or other fish of genus Euthynnus (excl. whole or in pieces)
16042090	Fish, prepared or preserved (excl. fish whole or in pieces, preparations of surimi and salmonidae, anchovies, sardines, bonito, mackerel of the species Scomber scombrus and of the species Scomber japonicus and fish of the species Orcynopsis unicolor, tunas, skipjack and other fish of the species Euthynnus)
16043100	Caviar
16043200	Caviar substitutes prepared from fish eggs
16051000	Crab, prepared or preserved (excl. smoked)
16052110	Shrimps and prawns, prepared or preserved, in immediate packings of a net content of <= 2 kg (excl. merely smoked, and in airtight containers)
16052190	Shrimps and prawns, prepared or preserved, in immediate packings of a net content of > 2 kg (excl. merely smoked, and in airtight containers)
16052900	Shrimps and prawns, prepared or preserved, in airtight containers (excl. smoked)
16053010	Lobster meat, cooked, for the manufacture of lobster butter or of lobster pastes, pates, soups or sauces
16053090	Lobster, prepared or preserved (excl. merely smoked; lobster meat, cooked, for the manufacture of lobster butter or of lobster pastes, pates, soups or sauces)
16054000	Crustaceans, prepared or preserved (excl. smoked, crabs, shrimps, prawns and lobster)
16055100	Oysters, prepared or preserved (excl. smoked)
16055200	Scallops, incl. queen scallops, prepared or preserved (excl. smoked)
16055310	Mussels, prepared or preserved, in airtight containers (excl. merely smoked)
16055390	Mussels, prepared or preserved (excl. in airtight containers, and merely smoked)
16055400	Cuttlefish and squid, prepared or preserved (excl. smoked)
16055500	Octopus, prepared or preserved (excl. smoked)
16055600	Clams, cockles and arkshells, prepared or preserved (excl. smoked)
16055700	Abalone, prepared or preserved (excl. smoked)
16055800	Snails, prepared or preserved (excl. smoked and sea snails)
16055900	Molluscs, prepared or preserved (excl. smoked, oysters, scallops, mussels, cuttle fish, squid, octopus, abalone, snails, and clams, cockles and arkshells)
16056100	Sea cucumbers, prepared or preserved (excl. smoked)
16056200	Sea urchins, prepared or preserved (excl. smoked)
16056300	Jellyfish, prepared or preserved (excl. smoked)
16056900	Aquatic invertebrates, prepared or preserved (excl. smoked, crustaceans, molluscs, sea cucumbers, sea urchins and jellyfish)
